,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
89,1946-47,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
90,1946-47,Football,Jr. Varsity,Boys,Div I,Western Canada
91,1946-47,Football,Sr. Varsity,Boys,Div I,Crescent Heights
92,1947-48,Basketball,Jr. Varsity,Boys,Div I,Not Awarded
93,1947-48,Basketball,Jr. Varsity,Girls,Div I,Western Canada
94,1947-48,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
95,1947-48,Basketball,Sr. Varsity,Girls,Div I,Not Awarded
96,1947-48,Football,Jr. Varsity,Boys,Div I,Western Canada
97,1947-48,Football,Sr. Varsity,Boys,Div I,"Crescent Heights 
and Western Canada"
98,1948-49,Basketball,Jr. Varsity,Boys,Div I,Central Collegiate Institute
99,1948-49,Basketball,Jr. Varsity,Girls,Div I,Western Canada
100,1948-49,Basketball,Sr. Varsity,Boys,Div I,Western Canada
101,1948-49,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
102,1948-49,Football,Jr. Varsity,Boys,Div I,Western Canada
103,1948-49,Football,Sr. Varsity,Boys,Div I,St. Mary's
104,"

1949-50",Basketball,Jr. Varsity,Boys,Div I,Central Collegiate Institute
105,"

1949-50",Basketball,Jr. Varsity,Girls,Div I,Western Canada
106,"

1949-50",Basketball,Sr. Varsity,Boys,Div I,Western Canada
107,"

1949-50",Basketball,Sr. Varsity,Girls,Div I,Western Canada
108,"

1949-50",Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
109,"

1949-50",Football,Sr. Varsity,Boys,Div I,Western Canada
110,1950-51,Basketball,Jr. Varsity,Boys,Div I,Western Canada
111,1950-51,Basketball,Jr. Varsity,Girls,Div I,Western Canada
112,1950-51,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
113,1950-51,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
114,1950-51,Football,Jr. Varsity,Boys,Div I,Western Canada
115,1950-51,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
116,1951-52,Basketball,Jr. Varsity,Boys,Div I,Central Collegiate Institute
117,1951-52,Basketball,Jr. Varsity,Girls,Div I,Crescent Heights
118,1951-52,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
119,1951-52,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
120,1951-52,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
