School Code,google_place_id,lat,lng
0319,EjYxMDcyMCAxMTcgQXZlICMxMDUsIEdyYW5kZSBQcmFpcmllLCBBQiBUOFYgN043LCBDYW5hZGEiHxodChYKFAoSCaeC1MP9k5BTEUFZYC0fLd1iEgMxMDU,55.1863094,-118.8160885
0323,ChIJT6USPZginFMRaAAv03omeOY,53.572522,-116.4764325
0324,ChIJFQ00fY1kpVMRyzSi3whyo9U,55.845505,-110.905504
0325,ChIJO15us6YjoFMRvqD7Tf3uLro,53.5711899,-113.4985069
0326,ChIJgd7Tf9O7ClMRKgu_pSeGDq8,53.0110063,-112.8377226
0327,ChIJfeXRj0Utm1MROvF2q8f1Oys,53.8885721,-119.1142817
0333,ChIJg4-MpI9mcVMR0pvMfIKNA0k,51.1465699,-114.06031
0334,ChIJUdltCa7ShFMRBkZTQWupmvw,53.8642975,-119.1443822
0335,ChIJH92V_pFxcVMRWkFl-5RMXk0,51.0003821,-114.135721
0336,ChIJrT1V0BVfcVMRcHvMA0jGFlU,51.2917856,-114.0358707
0338,ChIJkQ_FxxwmoFMRXaXlYOvazJM,53.6528157,-113.6621807
0339,ChIJNxqMQoFTvFMRzzWH2rOqJeg,56.54698399999999,-115.256549
0340,EjExOTE1IDIwdGggQXZlICMxMjM3LCBDb2FsZGFsZSwgQUIgVDFNIDFOMSwgQ2FuYWRhIiAaHgoWChQKEgmRUTVe1oFuUxGsjqTYBIy3AhIEMTIzNw,49.7271639,-112.6224852
0341,ChIJaYWv1xrNc1MRaTjuXfRztHw,51.0378827,-113.4216936
0342,ChIJaYWv1xrNc1MRaTjuXfRztHw,51.0378827,-113.4216936
0344,ChIJ2fz2bqIioFMRKTh_JkvVjlc,53.5322831,-113.4169729
0346,ChIJmVaBaKFfcVMRUu1Tez-cCRY,51.2714742,-114.0154986
0348,ChIJw4qhIGp2cVMRNL-v2tXW3CY,50.90182679999999,-114.0309608
0349,ChIJMQOFdZQioFMRNijeX8Y8Kr0,53.5398471,-113.434551
0367,ChIJv14r3giRkFMRUs2QC0Xpr5M,55.14620000000001,-118.83491
0369,ChIJJXcdos-7ClMRFKORilyWC0s,53.0199237,-112.8339947
0374,ChIJzwTV8U1wcVMRSpvbj2MCgos,51.0075757,-114.0818118
0375,ChIJj2Zz62ONolMRydB-SlcIQXc,55.2723922,-114.7801488
0378,ChIJFQJdVHQmoFMRxoH2uAK4BBY,53.6371583,-113.6326107
0379,Eik1NDE1IENvbGxlZ2UgQXZlLCBMYWNvbWJlLCBBQiBUNEwsIENhbmFkYSIxEi8KFAoSCZvbUIlHBHVTEY6K7qegYR1eEKcqKhQKEglDpp-ORgR1UxFD-pJRobXYww,52.4888023,-113.73813
0380,Ei81MjA1IDUwIEF2ZSAjMTQ3MSwgU3QuIFBhdWwsIEFCIFQwQSAzQTEsIENhbmFkYSIgGh4KFgoUChIJU_RldgQ5p1MR2Z49nYnSo0MSBDE0NzE,53.9908728,-111.3031994
0381,ChIJVz2JNqzLp1MRoKG7G-S2DyM,54.4485847,-110.2027285
0383,ChIJ0dW68zZUdFMRDpUDE7LHFXQ,52.2690914,-113.8106896
0384,ChIJayng8u_Mc1MRLUupA6CXyNM,51.042981,-113.3942852
0385,ChIJk6xtY07_c1MRIvC9zUFKudw,52.02763359999999,-113.948677
0386,ChIJ8damLwwioFMRNr_4niPMx04,53.517637,-113.489114
0387,ChIJ4c9DGpxocVMRwimN1SuiqZ8,51.1424308,-114.1488504
0389,ChIJKQ_idLFwcVMR7pQc2boJ4so,50.9740975,-114.0099716
0390,ChIJY8reax1pcVMRxk8XHWpxuws,51.1334418,-114.2057024
0391,ChIJL8Aa44CXcVMRy0QsqWMKs7c,50.709643,-113.965457
0392,ChIJdy1gNG_MdFMRhgaM0-B2OxU,52.3273205,-112.7047998
0393,ChIJDU93jDAyE1MRE9s05hirJxc,49.969226,-110.5868132
0401,ChIJ7dZTHUScoFMRldMeSveZ08Y,53.4946496,-112.0536518
0404,ChIJj4XuVG5fcVMRKmMNLhu0WQQ,51.2905218,-114.0128395
0405,ChIJX9FlLW_lbFMRyqWc35VBIm0,49.8674022,-111.3794447
0424,ChIJV3I_bq12cVMRCKfwYSnqBlA,50.9478808,-114.0895943
0428,ChIJl3fZyD5rcVMR9UpMwvdF9kg,51.0946282,-114.356056
0430,ChIJiW_-U2pablMRjl8sNGLXlLQ,49.7223893,-113.4030896
0431,ChIJK129URFVl1MR5UN5W3FGvY8,55.166667,-117.866667
0432,ChIJmyGMPMVxcVMRRMLXQRFh5DY,51.019369,-114.120998
0433,ChIJtwGxwaTWC1MRbT2QBOOKFg4,52.834933,-110.865405
0434,ChIJvQ0GjuxFllMRVAPFYO28Ohk,56.2569405,-117.2890859
0435,ChIJrxoOJMYnmFMRJM5piBo_jfY,55.4328449,-116.488581
0437,ChIJLWHjUCZlcVMRluVjXSMl6eY,51.0694674,-114.0086355
0438,ChIJU7oGj6TWC1MRQ7welgzq6q0,52.8360365,-110.8650512
0439,ChIJExKHhatjbVMRuIZCdSeje5Y,50.56914099999999,-111.8957939
0441,ChIJ0YDazsKUuFMRQkNJRSenKOk,58.4947364,-115.1478669
0442,ChIJzwTV8U1wcVMRSpvbj2MCgos,51.0075757,-114.0818118
0443,ChIJzwTV8U1wcVMRSpvbj2MCgos,51.0075757,-114.0818118
0444,ChIJTxJ2dok_cVMRtN6ZKNrYNrc,51.1645054,-114.4532015
0474,ChIJ0YDazsKUuFMRQkNJRSenKOk,58.4947364,-115.1478669
0475,ChIJ0YDazsKUuFMRQkNJRSenKOk,58.4947364,-115.1478669
0478,ChIJ0xVVcV17cVMRECJY8XnOpx8,51.0519805,-113.9302107
0481,ChIJiceou76WkFMRQZXvn58vUVE,55.1796221,-118.7611989
0482,ChIJ3XcEnYYpl1MRA87wxq-8LGM,55.7363469,-118.3903174
0483,ChIJh4lpbx4hoFMR35pvyrcnp-s,53.5468357,-113.6169212
0484,ChIJlzDUI74joFMR5d0ImRf6xtc,53.5710828,-113.522451
0485,ChIJ5YIl2PQioFMREYef8gwTRQU,53.54022,-113.45757
0486,ChIJ2UsjVV3KDFMRr3C2AYMl_JQ,51.6442555,-111.9258289
0487,ChIJacFHUUODwFMR0GMgkMsTD9c,58.51280819999999,-117.1440488
0488,ChIJDxvcormYdVMR6x9eia9Y1A4,52.6396816,-114.2358931
0489,ChIJoeu6stmydVMRYz0zTuIxERE,52.29921,-114.11215
0519,ChIJdUZsCHSVcVMRCK0DMLQL4gI,50.5902837,-113.8944993
0520,ChIJ9dCHi_4sE1MRdQEHxxrIGfU,50.0300834,-110.6842089
0521,ChIJa9Hcl7pwcVMRFcs5Oq6kmxg,50.97870589999999,-114.0118755
0524,ChIJl9tAptmydVMRlsAD8YjC4Mo,52.2997177,-114.1114398
0528,ChIJOYTe00kjoFMRQESsR82uuQE,53.5879742,-113.4448058
0531,ChIJgQC0IyzZdVMRTYkCUCaN_gQ,52.3742159,-114.919753
0532,ChIJ7xiLIH-woFMRySfstg8rK5E,53.7103441,-111.7461105
0533,ChIJ-2RAG5jtCVMRGogqVoNilFM,53.3551314,-110.8397258
0534,ChIJ1aYPYcO-b1MRbCs65Fsg-Jo,49.583426,-114.164098
0535,ChIJKU1ZbTlmcVMRIuddX6hjUxc,51.1502269,-114.1196295
0536,Ei81MDAgTWFydGluZGFsZSBCbHZkIE5FLCBDYWxnYXJ5LCBBQiBUM0osIENhbmFkYSIxEi8KFAoSCRMHCC2BY3FTEbANJn_Ph5r8EPQDKhQKEgnNWodTm2NxUxFKXhGVvHN5fA,51.1149533,-113.9673015
0537,ChIJVZPVof5tcVMRoAgsjAaQwck,51.0236022,-114.1820921
0538,ChIJPXL5-VNjcVMRPqAr9LUtBjw,51.0779294,-113.9304252
0574,ChIJnaW6Di5UdFMRR3Hztq88okk,52.271418,-113.8070093
0575,ChIJaYWv1xrNc1MRaTjuXfRztHw,51.0378827,-113.4216936
0576,ChIJGZz1oysnb1MRpHPPaKKY-Ec,49.1970874,-113.3082101
0577,ChIJh4lpbx4hoFMR35pvyrcnp-s,53.5468357,-113.6169212
0580,ChIJ2UsjVV3KDFMRr3C2AYMl_JQ,51.6442555,-111.9258289
0581,ChIJFT95rdl1cVMR_Yc1py0m_GM,50.8979192,-114.064935
0585,ChIJKybH9Bn_cVMRa5d7JLF4ikM,50.4047691,-113.2605833
0586,ChIJw84Fn6yudVMRLzhuKupfyn8,52.40684,-113.99759
0587,ChIJMTvG8JjtCVMRhoxRmy25imI,53.3523495,-110.839494
0588,ChIJq8CdOkdmcVMRgILdjOibcPs,51.1510251,-114.1102323
0589,ChIJ4-84J7V1cVMRN-d4Sdk2TfY,50.90163159999999,-114.1037178
0590,ChIJxb46zVWRkFMRkDAmtNOYFzg,55.1837606,-118.8086104
0591,ChIJGQfchL8Yl1MRo43FZOZeYZw,55.782235,-117.88065
0592,ChIJaYWv1xrNc1MRaTjuXfRztHw,51.0378827,-113.4216936
0593,ChIJ3YAR9-XMc1MR_DIcMqBd408,51.03984149999999,-113.3927292
0594,ChIJj3sQSBXEcFMRHZuOLNHlESs,51.049558,-115.318393
0595,ChIJaXJ2LIWyCVMRxlD1A3MkcSk,53.2755966,-110.0108419
0596,ChIJc-atgnN3cVMRCG_zM6rrrjU,50.9350981,-113.9831606
0597,ChIJ1e7soj1pcVMR1Ah4iYDqvS0,51.1200993,-114.2157299
0598,ChIJTXaquBtwcVMR6e19XFNNHpY,51.03574949999999,-114.0681473
0655,ChIJ64M3_GQhoFMRenHUA-7dmCU,53.5535788,-113.5647807
0658,ChIJVS8srVkfoFMR9OO73wCJNQU,53.4997367,-113.5243141
0660,ChIJWbeYd17Mc1MRbd01IobljbM,51.060371,-113.3958464
0665,ChIJs_K2UF7aCVMRuwXXXHo0sJc,53.58735919999999,-110.522095
0677,ChIJBxYOLLG5CVMRmX9kc9a8pxo,53.3415589,-110.3340414
0681,ChIJM2sxbRMkoFMRmuFeSuUtKIM,53.6022121,-113.5610141
0684,ChIJN7y8OtQYoFMRyGebrPvXo0Y,53.471776,-113.4684695
0688,ChIJOyvLT6gjoFMRTbKHezMSLzc,53.5645829,-113.4889566
0700,ChIJD9WRWtIXoFMRR2IWFTP8gJU,53.5363848,-113.3147212
0747,ChIJLyGGWc6nClMRsltcfhsa2EQ,53.1972868,-113.0564576
0765,ChIJTzAP8qisC1MRvzKSwdw63fo,52.7749904,-111.6920831
0770,ChIJOQ5IiriydVMRtC5v_k59YxY,52.30609279999999,-114.084733
0777,ChIJQWcTacqHblMRYFj4XhLYc5Q,49.6950787,-112.8281404
0793,ChIJL78ihLwacVMRTZmJhtJiUhY,50.95174,-114.5692339
0796,ChIJp8Z-iY9ucVMRVmjMBahbj1Q,51.06804589999999,-114.198097
0850,ChIJxblglfBxcVMRu28w1Sg72M4,51.0120264,-114.1534255
0889,ChIJy-RNOz7zbVMR0idtbnTff_M,50.3500357,-112.6447523
0913,ChIJBycIZA38ElMRJ50dcF0HdbQ,50.3397897,-110.092589
0941,ChIJj2MsoMdlcVMRHpXzd6lEBWA,51.1119139,-114.0641882
0955,ChIJW_rUyQaqElMRS6n648GoC2U,50.746954,-111.184476
0975,ChIJ7QSj8v2QDVMRXFfXLIJ0Iic,51.157764,-110.214152
0992,ChIJyzNDvG9pcVMROYHQUzT5Pbg,51.1239965,-114.2470863
